irn,title,title_length,image_irn,width,height,contentUrl,rights,description,observedDimension,creator,role,createdDate,createdPlace,productionUsedTechnique,isMadeOfSummary,isMadeOf,isTypeOf,influencedBy,depicts,refersTo,creditLine
26442,William Massey and Winston Churchill,36,425448,7057,9614,https://media.tepapa.govt.nz/collection/425448/full,No Known Copyright Restrictions,,"4.5, 6.5","Unknown,James McDonald","photographer,copyist",1914-1918?,City of London (United Kingdom),"black-and-white photography,gelatin dry plate process,copying",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,group portraits,copies",,"Portrait photographs,men,Suits (Clothing),Doors & doorways,Staffs (Sticks),Bowler hats,Top hats",meetings,
26476,Anglican Church at Russell,26,449796,11276,8169,https://media.tepapa.govt.nz/collection/449796/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
26477,"Tolaga Bay Trip: Wainui Beach, Gisborne, looking south east",59,419786,10832,7978,https://media.tepapa.govt.nz/collection/419786/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","photographs,black-and-white negatives,gelatin dry plate negatives,landscapes",,"Beaches,Landscapes (Representations),Carriages & coaches,Horses,Seas,Hills,Sand,Gisborne",,
26643,Kimble Bent,11,425432,7251,9818,https://media.tepapa.govt.nz/collection/425432/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1916,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,portraits,gelatin dry plate negatives",,"men,Suits (Clothing)",,
26657,Lower whale jaw (Ziphius cavirostris),37,446783,8433,11060,https://media.tepapa.govt.nz/collection/446783/full,No Known Copyright Restrictions,,,James McDonald,photographer,1912 - 1926,,black-and-white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","black-and-white negatives,nitrate cel",,"Bones (Body parts),Whales,Ziphius cavirostris G Cuvier, 1823",,
26865,Linum monogynum or Rauhuia (Linaceae),37,425454,9767,7285,https://media.tepapa.govt.nz/collection/425454/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,Circa 1903,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Shrubs,Plants,Flowers,Leaves",,
26976,Eskimo Dogs in Quarantine on Quail Island,41,425468,9733,7285,https://media.tepapa.govt.nz/collection/425468/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1907-1914,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Structures,Dogs,Fences,Trees,Christchurch,Quail Island",expeditions,
27192,Kerikeri House. The house from the bridge.,42,651273,6237,6560,https://media.tepapa.govt.nz/collection/651273/full,CC BY-NC-ND 4.0,,"6, 6",Charles Hale,,23 November 1951,,,,"photographic film,photographic gelatin,silver","black-and-white negatives,gelatin dry plate negatives",,,,
27720,Exploring the Countryside,25,449808,11166,8198,https://media.tepapa.govt.nz/collection/449808/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1923,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
27731,Snow Crystals,13,449853,8135,11285,https://media.tepapa.govt.nz/collection/449853/full,No Known Copyright Restrictions,,"4.5, 6.5","James McDonald,Unknown","copyist,publisher",1912 - 1926,,"black and white photography,copying",Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives,copies",,,,
27924,Honourable William Hall-Jones and Captain Gilbert,49,425440,7268,9801,https://media.tepapa.govt.nz/collection/425440/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1906,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,group portraits",,"Portrait photographs,Group portraits,men,vernacular architecture,Christchurch",ceremonies,
27927,Governor Sir George Grey,24,425652,8059,10543,https://media.tepapa.govt.nz/collection/425652/full,No Known Copyright Restrictions,,,"Burton Brothers,James McDonald","attributed,copyist",1870s,Dunedin (New Zealand),"black-and-white photography,gelatin dry plate process,copying",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,copies",,,,
28298,Right Honourable Richard John Seddon,36,425442,9784,7216,https://media.tepapa.govt.nz/collection/425442/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1906,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,portraits",,"Portraits,speech,people,Christchurch",ceremonies,
28569,Ships at Anchor,15,425456,9784,7285,https://media.tepapa.govt.nz/collection/425456/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1907-1914,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Ships,Harbours,Hills,Seas,Piers & wharves,Lyttelton,Christchurch",expeditions,
28592,Russell (Kororareka),20,449791,11155,8191,https://media.tepapa.govt.nz/collection/449791/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
28620,Creek near Russell,18,449807,11212,8191,https://media.tepapa.govt.nz/collection/449807/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
28667,Metrosideros excelsa : Pohutukawa (Myrtaceae),45,449859,11204,8172,https://media.tepapa.govt.nz/collection/449859/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
28773,Phormium tenax - Liliaceae,26,425472,7268,9767,https://media.tepapa.govt.nz/collection/425472/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Flax,Plants",,
29100,Karaka (Corynocarpus laevigatus),32,449855,8170,11264,https://media.tepapa.govt.nz/collection/449855/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1921,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
29610,Bust of Seddon,14,419790,8053,10870,https://media.tepapa.govt.nz/collection/419790/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","sculpture,black-and-white negatives,gelatin dry plate negatives",Nelson Illingworth,"Sculpture,men",Wellington,
29623,"Captain Hannah, Inspector of Messengers, Government Buildings",61,425650,10545,8049,https://media.tepapa.govt.nz/collection/425650/full,No Known Copyright Restrictions,,,James McDonald,photographer,1913,,"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,,,
29726,Ponies in Quarantine on Quail Island,36,425460,9801,7285,https://media.tepapa.govt.nz/collection/425460/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1907-1914,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Boats,Harbours,Hills,Seas,Piers & wharves,Ponies,people,Quail Island,Christchurch",expeditions,
29765,Old gun used in 1840,20,449809,11245,8148,https://media.tepapa.govt.nz/collection/449809/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
29866,Bust of Seddon,14,419792,8098,10994,https://media.tepapa.govt.nz/collection/419792/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","sculpture,black-and-white negatives,gelatin dry plate negatives",Nelson Illingworth,"Sculpture,men",Wellington,
29942,Arthropodium cirrhatum - Liliaceae,34,425474,9750,7268,https://media.tepapa.govt.nz/collection/425474/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Plants,Leaves,Flowers,Lilies",,
30102,Metrosideros excelsa (Myrtaceae),32,449860,11231,8134,https://media.tepapa.govt.nz/collection/449860/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
30164,Parliament Buildings,20,419784,10942,8064,https://media.tepapa.govt.nz/collection/419784/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1902,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",Gothic Revival,"Government facilities,Parliament buildings,Gates,Lawns,Sculpture,Electric lines,Wellington",,
30165,"First New Zealand Church, Paihia",32,449800,11268,8210,https://media.tepapa.govt.nz/collection/449800/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
30166,"First New Zealand Church, Paihia",32,449802,8262,11312,https://media.tepapa.govt.nz/collection/449802/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
30256,Metrosideros excelsa (Myrtaceae),32,449861,11269,8176,https://media.tepapa.govt.nz/collection/449861/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
30321,View of the Nimrod,18,425458,9784,7268,https://media.tepapa.govt.nz/collection/425458/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1907-1914,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Ships,Harbours,Hills,Seas,Buildings,Piers & wharves,Lyttelton,Christchurch",expeditions,
30359,Dr James Allan Thomson,22,451497,8259,11244,https://media.tepapa.govt.nz/collection/451497/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1912 - 1926,,black-and-white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
30409,"HMS ""New Zealand"" - gun turret",30,425670,10525,8019,https://media.tepapa.govt.nz/collection/425670/full,No Known Copyright Restrictions,,,James McDonald,photographer,circa 1914,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,,,
30715,Dr James Allan Thomson,22,451498,8263,11291,https://media.tepapa.govt.nz/collection/451498/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1912 - 1926,,black-and-white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
30858,Trans-shipping Ponies,21,425462,9767,7183,https://media.tepapa.govt.nz/collection/425462/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1907-1914,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Harbours,Hills,Seas,Piers & wharves,people,Ponies,Lyttelton,Christchurch","Ships,expeditions",
30940,Fijian Group at the Christchurch Exhibition,43,425478,9784,7251,https://media.tepapa.govt.nz/collection/425478/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1906,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,group portraits",,"Arms & armament,Indigenous peoples,People,Christchurch,Fijian",exhibitions,
30956,Man,3,425480,7336,9801,https://media.tepapa.govt.nz/collection/425480/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1906,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","portraits,black-and-white negatives,gelatin dry plate negatives",,"men,Christchurch,Fijian",Indigenous peoples,
30979,Cordyline australis - Liliaceae,31,449856,8083,11209,https://media.tepapa.govt.nz/collection/449856/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1921,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31058,"First New Zealand Church, Paihia",32,449801,8210,11267,https://media.tepapa.govt.nz/collection/449801/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31192,Russell (Kororareka),20,449792,11215,8191,https://media.tepapa.govt.nz/collection/449792/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31210,"First New Zealand Church, Paihia",32,449793,8261,11327,https://media.tepapa.govt.nz/collection/449793/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31211,"Old Store, Kerikeri",19,449794,11245,8193,https://media.tepapa.govt.nz/collection/449794/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31212,"First New Zealand Church, Paihia",32,449799,11289,8219,https://media.tepapa.govt.nz/collection/449799/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31258,Topographical view of Tikitere near Lake Rotoiti,48,419802,10796,8002,https://media.tepapa.govt.nz/collection/419802/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,landscapes","Rotoiti, Lake (New Zealand)","Landscapes (Representations),men,Rocks",,
31400,"Paihia, Bay of Islands",22,449785,11241,8139,https://media.tepapa.govt.nz/collection/449785/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31421,Dr Valentine,12,449821,8164,11306,https://media.tepapa.govt.nz/collection/449821/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31464,Karaka (Corynocarpus laevigatus),32,449854,8191,11155,https://media.tepapa.govt.nz/collection/449854/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1921,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
31813,Cordyline indivisa (Toli) - Liliaceae,37,425470,7268,9733,https://media.tepapa.govt.nz/collection/425470/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,Circa 1903,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Plants,Leaves,Flax",,
