irn,title,title_length,number_of_imagesimage_irn,width,height,contentUrl,rights,description,observedDimension,creator,role,createdDate,createdPlace,productionUsedTechnique,isMadeOfSummary,isMadeOf,isTypeOf,influencedBy,depicts,refersTo,creditLine
936568,Full-face Queen (Chalon Head) one penny stamps on cover,55,1,150063,4360,2656,https://media.tepapa.govt.nz/collection/150063/full,No Known Copyright Restrictions,,"Overall: 117mm (width), 70mm (height)",Unknown,writer,13 August 1855,New Zealand,,,"writing paper,ink","postage stamps,envelopes",,,"Postage stamps,Birmingham",Purchased 2009
936577,Full-face Queen (Chalon Head) two penny stamp on cover,54,1,150055,5136,2976,https://media.tepapa.govt.nz/collection/150055/full,No Known Copyright Restrictions,,"Overall: 144mm (width), 80mm (height)",Unknown,writer,14 January 1856,New Zealand,,,"paper,ink","postage stamps,envelopes,letters,correspondence",,,"City of London,New Plymouth",Purchased 2009
936581,Full-face Queen (Chalon Head) one shilling stamp on cover,57,1,150056,4868,2884,https://media.tepapa.govt.nz/collection/150056/full,No Known Copyright Restrictions,,"135mm, 75mm",Unknown,writer,3 August 1858,New Zealand,,,"paper,ink","postage stamps,envelopes",,,"Postage stamps,England,Lewes,Auckland",Purchased 2009
981143,Great Barrier Pigeongram Agency six penny stamp,47,1,144839,4532,3930,https://media.tepapa.govt.nz/collection/144839/full,No Known Copyright Restrictions,,"40mm, 36mm","Brett Printing and Publishing Company Ltd.,Harry Wrigg NZC","printer,designer",1899,New Zealand,,,"paper,printing ink",postage stamps,Homing pigeons,,"Postage stamps,Great Barrier Island",Purchased 1993
981567,Great Barrier Pigeongram Agency six penny stamp,47,1,144840,4964,3508,https://media.tepapa.govt.nz/collection/144840/full,No Known Copyright Restrictions,,"62mm, 37mm","Brett Printing and Publishing Company Ltd.,Harry Wrigg NZC","printer,designer",1899,New Zealand,,,"paper,printing ink",postage stamps,Homing pigeons,,"Postage stamps,Great Barrier Island",Purchased 1993
981570,Great Barrier Pigeongram Agency six penny stamp,47,1,144841,4936,3288,https://media.tepapa.govt.nz/collection/144841/full,No Known Copyright Restrictions,,"62mm, 37mm","Brett Printing and Publishing Company Ltd.,Harry Wrigg NZC","printer,designer",1899,New Zealand,,,"paper,printing ink",postage stamps,Homing pigeons,,"Postage stamps,Great Barrier Island",Purchased 1993
986654,Original artwork [ink] for one and a half penny 'Empire's Call' stamp.,70,1,149466,6978,4320,https://media.tepapa.govt.nz/collection/149466/full,No Known Copyright Restrictions,,"Overall: 277mm (width), 180mm (height)",James Nairn,designer,1900,New Zealand,drawing,Original sketch in black ink on card.,"cardboard,India ink",design drawings,,,"wars,New Zealand,British Empire","The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1017050,Sheet of 120 one penny Railways Charges stamps,46,2,170309,5484,7320,https://media.tepapa.govt.nz/collection/170309/full,No Known Copyright Restrictions,,"325mm, 430mm",New Zealand Railways,producer,1928,New Zealand,,,"paper,printing ink",postage stamps,,,Railroads,Purchased 2010
1017050,Sheet of 120 one penny Railways Charges stamps,46,2,170310,5000,6913,https://media.tepapa.govt.nz/collection/170310/full,No Known Copyright Restrictions,,"325mm, 430mm",New Zealand Railways,producer,1928,New Zealand,,,"paper,printing ink",postage stamps,,,Railroads,Purchased 2010
1017107,Sheet of 120 six penny Railways Charges stamps,46,2,170311,5250,6801,https://media.tepapa.govt.nz/collection/170311/full,No Known Copyright Restrictions,,"332mm, 433mm",New Zealand Railways,producer,1928,New Zealand,,,"paper,printing ink",postage stamps,,,Railroads,Purchased 2010
1017107,Sheet of 120 six penny Railways Charges stamps,46,2,170312,5146,6974,https://media.tepapa.govt.nz/collection/170312/full,No Known Copyright Restrictions,,"332mm, 433mm",New Zealand Railways,producer,1928,New Zealand,,,"paper,printing ink",postage stamps,,,Railroads,Purchased 2010
1057897,"Postcard showing Post Office, Ulva, Stewart Island",50,1,174839,6665,4720,https://media.tepapa.govt.nz/collection/174839/full,No Known Copyright Restrictions,,"135mm, 85mm","Unknown,Unknown Organisation","photographer,publisher",circa 1900,New Zealand,,,paper,postcards,,Stewart Island,Postcards,Purchased 2003
1057901,"Letter to Wesleyan Missionary Society, London from Bay of Islands, New Zealand",78,2,174840,6175,5129,https://media.tepapa.govt.nz/collection/174840/full,No Known Copyright Restrictions,"<SPAN lang=EN-NZ><SPAN lang=EN-NZ>
<P dir=ltr align=left><STRONG>[Cover]</STRONG></P>
<P dir=ltr align=left>The General Secretaries </P>
<P dir=ltr align=left>of the Wesleyan Mission Society,</P>
<P dir=ltr align=left>Centenary Hall P.M. House,</P>
<P dir=ltr align=left>Bishopsgate Street Within </P>
<P dir=ltr align=left>London.</P>
<P dir=ltr align=left><STRONG>[Letter]</STRONG></P></SPAN>
<P dir=ltr align=left>[Page 1]</P>
<P dir=ltr align=left>7.</P>
<P dir=ltr align=left>30. Are Registers of Baptisms and Marriages kept in each Station, and are the Entries carefully made?</P>
<P dir=ltr align=left>Yes.</P>
<P dir=ltr align=left>31. Have the service of the Established Church and the Sacred Scriptures been uniformly read in the different Circuits according to the direction of the Conference of 1839?</P>
<P dir=ltr align=left>Yes.</P>
<P dir=ltr align=left>32. Can any measures be adopted for the promotion of the work of God in this District?</P>
<P dir=ltr align=left>No practicable means for the further extension of the work of God in this District can be adopted at present, but we deeply feel the importance of an increase of personal piety and renewed devotedness to the work.</P>
<P dir=ltr align=left>33. Are there any new Stations to be recommended to the attention of the Committee?</P><U>
<P dir=ltr align=left>Auckland</U>. The metropolis of New Zealand. This town where we have societies of 13 Europeans and 150 natives has been visited twice during the past twelve months, but owing to its distance from the nearest Station we deem it also absolutely necessary that a Missionary knowing the native language be stationed there for the preservation of our native society resident in the neighbourhood as well as numbers of our people from our various other Stations north &amp; south who are continually resorting thither for the purposes of trading; and we most deeply feel that unless such provisions be made the consequences will be most painful.</P>
<P dir=ltr align=left>[Page 2]</P>
<P dir=ltr align=left>8.</P>
<P dir=ltr align=left>The Government has already granted an allotment of Land for extent and situation suitable for Chapel and Misson Premises, £130 has been already subscribed with the immediate prospect of realizing at least £200 for the erection of a Chapel which will be forthwith commenced, and we earnestly recommend the appointment of Mr. Warren to the Station.</P>
<P dir=ltr align=left>24. When and where shall our next District Meeting be held?</P>
<P dir=ltr align=left>At Kaipara the third Monday in August 1843.</P><U>
<P dir=ltr align=left>Miscellaneous</P></U>
<P dir=ltr align=left>1. We are very sorry to state that having had no paper nothing has been printed except Tickets and Placards during the year.</P>
<P dir=ltr align=left>2. What shall be printed during the next year? See last year’s account.</P>
<P dir=ltr align=left>3. Report of the Testaments.</P>
<P dir=ltr align=left>The munificent grant of the Bible Society of New Zealand Testament calls for our very warmest acknowledgements in behalf of the Northern Division of this District, and we have been delighted and thankful to the God of all grace in having received in these – Northern Stations, 2,000 Copies, 800 of which </P>
<P dir=ltr align=left>[Page 3]</P>
<P dir=ltr align=left>9.</P>
<P dir=ltr align=left>have already been put into circulation among our people. No doubt many more would have been immediately for if only people had not been partly supplied from the brethren of the Church Mission who received theirs from England a long time before ours came to hand. 182 have been disposed of at 2s each, for Cash, - and 720 for work, assistance in travelling, &amp;c: potatoes, &amp;c. and a few have been given to the heathen, and to those connected to the Romish party, leaving two thirds of the whole yet on hand. We have not thought it advisable to give many, and believe they will value them the more for having to pay a rifle for them. We rejoice in the glorious prospect of a moral victory [?] theis Sword of the Spirit, over the powers of darkness, and are delighted to find that the people study them by day and by night, so that many can repeat with the greatest exactness whole Chapters, and whole Books, and we believe that some can repeat nearly the whole. We trust also that many receive the work into their hearts, and the questions they ask prove their great anxiety to comprehend the vital truth contained therein. We believe that the Church Misisonaries intedn to present to the Bible Society all the money they get as a donation from the New Zealanders. They have charged 4s for many, and as they received theirs so long before we received ours, they of course will have a great advantage in appearance of liberality above our people.<FONT size=3></P></FONT></SPAN>","170mm, 80mm",Unknown,writer,1842,New Zealand,,,"paper,ink",letters,,,"London,Russell,New South Wales",Purchased 2004
1057901,"Letter to Wesleyan Missionary Society, London from Bay of Islands, New Zealand",78,2,174842,6174,5157,https://media.tepapa.govt.nz/collection/174842/full,No Known Copyright Restrictions,"<SPAN lang=EN-NZ><SPAN lang=EN-NZ>
<P dir=ltr align=left><STRONG>[Cover]</STRONG></P>
<P dir=ltr align=left>The General Secretaries </P>
<P dir=ltr align=left>of the Wesleyan Mission Society,</P>
<P dir=ltr align=left>Centenary Hall P.M. House,</P>
<P dir=ltr align=left>Bishopsgate Street Within </P>
<P dir=ltr align=left>London.</P>
<P dir=ltr align=left><STRONG>[Letter]</STRONG></P></SPAN>
<P dir=ltr align=left>[Page 1]</P>
<P dir=ltr align=left>7.</P>
<P dir=ltr align=left>30. Are Registers of Baptisms and Marriages kept in each Station, and are the Entries carefully made?</P>
<P dir=ltr align=left>Yes.</P>
<P dir=ltr align=left>31. Have the service of the Established Church and the Sacred Scriptures been uniformly read in the different Circuits according to the direction of the Conference of 1839?</P>
<P dir=ltr align=left>Yes.</P>
<P dir=ltr align=left>32. Can any measures be adopted for the promotion of the work of God in this District?</P>
<P dir=ltr align=left>No practicable means for the further extension of the work of God in this District can be adopted at present, but we deeply feel the importance of an increase of personal piety and renewed devotedness to the work.</P>
<P dir=ltr align=left>33. Are there any new Stations to be recommended to the attention of the Committee?</P><U>
<P dir=ltr align=left>Auckland</U>. The metropolis of New Zealand. This town where we have societies of 13 Europeans and 150 natives has been visited twice during the past twelve months, but owing to its distance from the nearest Station we deem it also absolutely necessary that a Missionary knowing the native language be stationed there for the preservation of our native society resident in the neighbourhood as well as numbers of our people from our various other Stations north &amp; south who are continually resorting thither for the purposes of trading; and we most deeply feel that unless such provisions be made the consequences will be most painful.</P>
<P dir=ltr align=left>[Page 2]</P>
<P dir=ltr align=left>8.</P>
<P dir=ltr align=left>The Government has already granted an allotment of Land for extent and situation suitable for Chapel and Misson Premises, £130 has been already subscribed with the immediate prospect of realizing at least £200 for the erection of a Chapel which will be forthwith commenced, and we earnestly recommend the appointment of Mr. Warren to the Station.</P>
<P dir=ltr align=left>24. When and where shall our next District Meeting be held?</P>
<P dir=ltr align=left>At Kaipara the third Monday in August 1843.</P><U>
<P dir=ltr align=left>Miscellaneous</P></U>
<P dir=ltr align=left>1. We are very sorry to state that having had no paper nothing has been printed except Tickets and Placards during the year.</P>
<P dir=ltr align=left>2. What shall be printed during the next year? See last year’s account.</P>
<P dir=ltr align=left>3. Report of the Testaments.</P>
<P dir=ltr align=left>The munificent grant of the Bible Society of New Zealand Testament calls for our very warmest acknowledgements in behalf of the Northern Division of this District, and we have been delighted and thankful to the God of all grace in having received in these – Northern Stations, 2,000 Copies, 800 of which </P>
<P dir=ltr align=left>[Page 3]</P>
<P dir=ltr align=left>9.</P>
<P dir=ltr align=left>have already been put into circulation among our people. No doubt many more would have been immediately for if only people had not been partly supplied from the brethren of the Church Mission who received theirs from England a long time before ours came to hand. 182 have been disposed of at 2s each, for Cash, - and 720 for work, assistance in travelling, &amp;c: potatoes, &amp;c. and a few have been given to the heathen, and to those connected to the Romish party, leaving two thirds of the whole yet on hand. We have not thought it advisable to give many, and believe they will value them the more for having to pay a rifle for them. We rejoice in the glorious prospect of a moral victory [?] theis Sword of the Spirit, over the powers of darkness, and are delighted to find that the people study them by day and by night, so that many can repeat with the greatest exactness whole Chapters, and whole Books, and we believe that some can repeat nearly the whole. We trust also that many receive the work into their hearts, and the questions they ask prove their great anxiety to comprehend the vital truth contained therein. We believe that the Church Misisonaries intedn to present to the Bible Society all the money they get as a donation from the New Zealanders. They have charged 4s for many, and as they received theirs so long before we received ours, they of course will have a great advantage in appearance of liberality above our people.<FONT size=3></P></FONT></SPAN>","170mm, 80mm",Unknown,writer,1842,New Zealand,,,"paper,ink",letters,,,"London,Russell,New South Wales",Purchased 2004
1068033,Earliest letter sent from Port Nicholson,40,1,181205,5023,3776,https://media.tepapa.govt.nz/collection/181205/full,No Known Copyright Restrictions,,"122mm, 81mm",G M Partridge,writer,1840,New Zealand,,,"paper,ink",letters,,,"London,Sydney,New South Wales,Wellington",Purchased 2006
1163522,Transfer roller die for four penny Full-face Queen (Chalon Head) postage stamp,78,4,225550,5082,3744,https://media.tepapa.govt.nz/collection/225550/full,No Known Copyright Restrictions,,"Overall: 47mm (width), 110mm (length)","Perkins, Bacon & Co.",maker/artist,1865,England (United Kingdom),steel engraving,,steel,dies,,,Postage stamps,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1163522,Transfer roller die for four penny Full-face Queen (Chalon Head) postage stamp,78,4,225551,5544,4026,https://media.tepapa.govt.nz/collection/225551/full,No Known Copyright Restrictions,,"Overall: 47mm (width), 110mm (length)","Perkins, Bacon & Co.",maker/artist,1865,England (United Kingdom),steel engraving,,steel,dies,,,Postage stamps,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1163522,Transfer roller die for four penny Full-face Queen (Chalon Head) postage stamp,78,4,225548,7320,5484,https://media.tepapa.govt.nz/collection/225548/full,No Known Copyright Restrictions,,"Overall: 47mm (width), 110mm (length)","Perkins, Bacon & Co.",maker/artist,1865,England (United Kingdom),steel engraving,,steel,dies,,,Postage stamps,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1163522,Transfer roller die for four penny Full-face Queen (Chalon Head) postage stamp,78,4,225549,7320,5484,https://media.tepapa.govt.nz/collection/225549/full,No Known Copyright Restrictions,,"Overall: 47mm (width), 110mm (length)","Perkins, Bacon & Co.",maker/artist,1865,England (United Kingdom),steel engraving,,steel,dies,,,Postage stamps,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1235839,Full sheet of 10 proposed designs (Lewis essays) for Queen Victoria pictorial stamps,84,1,271593,5672,3107,https://media.tepapa.govt.nz/collection/271593/full,No Known Copyright Restrictions,,"170, 93.5",Charles Lewis,designer,1892,New Zealand,,,"paper,printing ink","postage stamps,proofs",,Cargo ships,,Purchased 2011
1267879,Watercolour 'Essay' in green for 1898 pictorial two penny stamp,63,1,270649,4590,4936,https://media.tepapa.govt.nz/collection/270649/full,No Known Copyright Restrictions,,"80mm, 108mm",William Bock,artist,1898,New Zealand,,,"watercolour,cardboard",mail art,,Mitre Peak,,Purchased 2003
1267883,Watercolour 'Essay' in black and white for 1898 pictorial two and a half penny stamp,84,1,270650,3910,4448,https://media.tepapa.govt.nz/collection/270650/full,No Known Copyright Restrictions,,"82mm, 107mm",William Bock,artist,1898,New Zealand,,,"ink,cardboard",mail art,,Aorangi (Mount Cook),,Purchased 2003
1267886,Watercolour 'Essay' in blue for 1898 pictorial three penny stamp,64,1,270651,4014,4504,https://media.tepapa.govt.nz/collection/270651/full,No Known Copyright Restrictions,,"88mm, 108mm",William Bock,artist,1898,New Zealand,,,"watercolour,cardboard",mail art,,Heteralocha acutirostris,,Purchased 2003
1267890,Watercolour 'Essay' in red for 1898 pictorial six penny stamp,61,1,270652,3852,4474,https://media.tepapa.govt.nz/collection/270652/full,No Known Copyright Restrictions,,"78mm, 97mm",William Bock,artist,1898,New Zealand,,,"watercolour,cardboard",mail art,,Mitre Peak,,Purchased 2003
1267892,Watercolour 'Essay' in black and white by W.R. Bock for 1898 pictorial eight penny stamp,88,1,270653,4422,4961,https://media.tepapa.govt.nz/collection/270653/full,No Known Copyright Restrictions,,"82mm, 107mm",William Bock,artist,1898,New Zealand,,,"ink,cardboard",mail art,,Milford Sound,,Purchased 2003
1267894,Watercolour 'Essay' in lake by W.R. Bock for 1898 pictorial one shilling stamp,78,1,270654,4062,4568,https://media.tepapa.govt.nz/collection/270654/full,No Known Copyright Restrictions,,"74mm, 107mm",William Bock,artist,1898,New Zealand,,,"watercolour,cardboard",mail art,,"Nestor notabilis,Nestor meridionalis",,Purchased 2003
1267910,"Lettercard to W.R. Bock, from W.F. Gordon.",42,5,270661,6714,4350,https://media.tepapa.govt.nz/collection/270661/full,No Known Copyright Restrictions,,"124mm, 80mm",William Francis Gordon,writer,1896,New Zealand,,,"ink,paper",mail art,,,"Wellington,New Plymouth",Purchased 2003
1267910,"Lettercard to W.R. Bock, from W.F. Gordon.",42,5,270662,6666,4338,https://media.tepapa.govt.nz/collection/270662/full,No Known Copyright Restrictions,,"124mm, 80mm",William Francis Gordon,writer,1896,New Zealand,,,"ink,paper",mail art,,,"Wellington,New Plymouth",Purchased 2003
1267910,"Lettercard to W.R. Bock, from W.F. Gordon.",42,5,270660,4310,5440,https://media.tepapa.govt.nz/collection/270660/full,No Known Copyright Restrictions,,"124mm, 80mm",William Francis Gordon,writer,1896,New Zealand,,,"ink,paper",mail art,,,"Wellington,New Plymouth",Purchased 2003
1267910,"Lettercard to W.R. Bock, from W.F. Gordon.",42,5,270658,4271,3430,https://media.tepapa.govt.nz/collection/270658/full,No Known Copyright Restrictions,,"124mm, 80mm",William Francis Gordon,writer,1896,New Zealand,,,"ink,paper",mail art,,,"Wellington,New Plymouth",Purchased 2003
1267910,"Lettercard to W.R. Bock, from W.F. Gordon.",42,5,270659,4297,3462,https://media.tepapa.govt.nz/collection/270659/full,No Known Copyright Restrictions,,"124mm, 80mm",William Francis Gordon,writer,1896,New Zealand,,,"ink,paper",mail art,,,"Wellington,New Plymouth",Purchased 2003
1295131,Issued two and a half penny 'Lake Wakatipu and Mount Earnslaw' stamp,68,1,279686,6019,4065,https://media.tepapa.govt.nz/collection/279686/full,No Known Copyright Restrictions,,"Overall: 35mm (width), 23mm (height)","Waterlow & Sons Ltd.,Edmund Luke,A Hill","printer,designer,engraver",1898,England (United Kingdom),,,"paper,printing ink",postage stamps,,"Wakatipu, Lake,Earnslaw, Mount",New Zealand,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1295134,Issued five penny 'Otira Gorge and Mount Ruapehu' stamp,55,1,279689,3911,5780,https://media.tepapa.govt.nz/collection/279689/full,No Known Copyright Restrictions,,"Overall: 23mm (width), 33mm (height)","Waterlow & Sons Ltd.,Edmund Luke,J Harrison","printer,designer,engraver",1898,England (United Kingdom),,,"paper,printing ink",postage stamps,,"Ruapehu, Mount",New Zealand,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1295140,Issued two shillings 'Milford Sound' stamp,42,1,279694,6043,4035,https://media.tepapa.govt.nz/collection/279694/full,No Known Copyright Restrictions,,"Overall: 36mm (width), 24mm (height)","Waterlow & Sons Ltd.,Edmund Luke,Mr Rapkin","printer,designer,engraver",1898,England (United Kingdom),,,"paper,printing ink",postage stamps,,"Milford Sound,Cordyline australis (G.Forst.) Endl.",New Zealand,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1295142,Issued five shillings 'Mount Cook' stamp,40,1,279695,3889,6201,https://media.tepapa.govt.nz/collection/279695/full,No Known Copyright Restrictions,,"Overall: 22mm (width), 36mm (height)","Waterlow & Sons Ltd.,Edmund Luke,Mr Rapkin","printer,designer,engraver",1898,England (United Kingdom),,,"paper,printing ink",postage stamps,,Aorangi (Mount Cook),New Zealand,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1332731,"Philatelic item - ""Cinderella"", Poverty Bay Wounded Soldiers War Seal",69,1,355023,3798,4424,https://media.tepapa.govt.nz/collection/355023/full,No Known Copyright Restrictions,"<FONT size=3>
<P>This philatelic 'cinderella' [unofficial postage stamp] or 'War Seal' was issued to raise funds for Poverty Bay Wounded Soldiers. The stamp was sold for a half penny and bears a depiction of two soldiers and two ships.</P></FONT>","Overall: 28mm (width), 34mm (height)",Unknown,maker/artist,1915,New Zealand,,,"paper,ink","Visual and Verbal Communication,envelopes,postage stamps",,,"World War, 1914-1918,Fund raising,soldiers,New Zealand,Poverty Bay",Purchased 1997
1332741,"Philatelic item - ""Cinderella"", Manawatu Wounded Soldiers Fund",62,1,355025,4614,5288,https://media.tepapa.govt.nz/collection/355025/full,No Known Copyright Restrictions,"<FONT size=1>
<P><FONT size=3>This philatelic 'cinderella' [unofficial postage stamp] was issued to raise funds for the Manawatu Wounded Soldiers Fund. The stamp bears a depiction of a soldier surrounded by a fern wreath.</FONT></P>
<P><FONT size=3><EM>A community effort</EM></FONT></P>
<P><FONT size=3>The Manawatu Wounded Soldiers Fund received donations from all around the Manawatu region. For example, the <EM>Manawatu Standard</EM> reported on 1 September 1915, that the Ashhurst Patriotic Committee donated 55 pounds to the Fund, including proceeds from 'Our Boys' art union, a recent concert, a Catholic social, children and other donations. A load of wood and White Leghorn birds were among other items donated and auctioned to raise money for the Fund.</FONT></P></FONT>","Overall: 34mm (width), 40mm (height)",Unknown,designer,1915,New Zealand,,,"paper,ink","Visual and Verbal Communication,envelopes,postage stamps",,,"World War, 1914-1918,Fund raising,soldiers,New Zealand,Manawatū",Purchased 1997 with New Zealand Lottery Grants Board funds
1332752,Letter,6,4,682994,8178,5018,https://media.tepapa.govt.nz/collection/682994/full,No Known Copyright Restrictions,,"Overall: 117mm (width), 73mm (height)",Unknown,writer,1848,New Zealand,,,paper,letters,,,"Postal service,New Zealand,Birmingham",Purchased 2006
1332752,Letter,6,4,682993,8167,5012,https://media.tepapa.govt.nz/collection/682993/full,No Known Copyright Restrictions,,"Overall: 117mm (width), 73mm (height)",Unknown,writer,1848,New Zealand,,,paper,letters,,,"Postal service,New Zealand,Birmingham",Purchased 2006
1345070,"Postcard, 'Field Service Post Card', WWI",40,2,347361,3567,5560,https://media.tepapa.govt.nz/collection/347361/full,No Known Copyright Restrictions,,"Overall: 134mm (width), 86mm (height)",Unknown,writer,5 June 1915,Gallipoli (Türkiye),,,"paper,ink","Visual and Verbal Communication,postcards",,,"Postal service,World War, 1914-1918,Military service,New Zealand,Gallipoli",Purchased 2009
1345070,"Postcard, 'Field Service Post Card', WWI",40,2,347362,5424,3582,https://media.tepapa.govt.nz/collection/347362/full,No Known Copyright Restrictions,,"Overall: 134mm (width), 86mm (height)",Unknown,writer,5 June 1915,Gallipoli (Türkiye),,,"paper,ink","Visual and Verbal Communication,postcards",,,"Postal service,World War, 1914-1918,Military service,New Zealand,Gallipoli",Purchased 2009
1345080,"Postcard, 'Field Service Post Card', WWI",40,2,347363,3830,5568,https://media.tepapa.govt.nz/collection/347363/full,No Known Copyright Restrictions,,"Overall: 134mm (width), 86mm (height)",Unknown,writer,11 July 1915,Gallipoli (Türkiye),,,"paper,ink","Visual and Verbal Communication,postcards",,,"Postal service,World War, 1914-1918,Military service,New Zealand,Gallipoli,England",Purchased 2009
1345080,"Postcard, 'Field Service Post Card', WWI",40,2,347364,5478,3720,https://media.tepapa.govt.nz/collection/347364/full,No Known Copyright Restrictions,,"Overall: 134mm (width), 86mm (height)",Unknown,writer,11 July 1915,Gallipoli (Türkiye),,,"paper,ink","Visual and Verbal Communication,postcards",,,"Postal service,World War, 1914-1918,Military service,New Zealand,Gallipoli,England",Purchased 2009
1351455,Issued two penny 'Full-Face Queen' [Chalon Head] definitive stamp,65,1,304645,4492,5712,https://media.tepapa.govt.nz/collection/304645/full,No Known Copyright Restrictions,,"Overall: 21mm (width), 27mm (height)","John Davies,William Humphrys","printer,designer",1871-1874,New Zealand,,,"paper,printing ink","Visual and Verbal Communication,postage stamps",,,New Zealand,"The New Zealand Post Museum Collection, Gift of New Zealand Post Ltd., 1992"
1440086,"Cinderella, 'Kaiapoi Woollen Goods'",35,1,340037,4086,4432,https://media.tepapa.govt.nz/collection/340037/full,No Known Copyright Restrictions,,"Overall: 29mm (width), 32mm (height)",Unknown Organisation,printer,1906,New Zealand,,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,Kaiapoi",
1440177,"Cinderella, Christchurch Exhibition label No. 3",47,1,340049,3766,4872,https://media.tepapa.govt.nz/collection/340049/full,No Known Copyright Restrictions,,"Overall: 40mm (width), 53mm (height)",Lyttelton Times Co.,printer,1906,Christchurch (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Christchurch,Lyttelton",Purchased 1997
1440183,"Cinderella, Christchurch Exhibition label No. 5",47,1,340051,4110,5056,https://media.tepapa.govt.nz/collection/340051/full,No Known Copyright Restrictions,,"Overall: 44mm (width), 54mm (height)","Christchurch Press Company Ltd.,Christchurch Press Company Ltd.","printing firm,printer",1906,New Zealand,,,"paper,ink","Visual and Verbal Communication,stickers",,,Christchurch,Purchased 1997
1440184,"Cinderella, Christchurch Exhibition label No. 6",47,1,340052,4110,5192,https://media.tepapa.govt.nz/collection/340052/full,No Known Copyright Restrictions,,"Overall: 44mm (width), 55mm (height)","Christchurch Press Company Ltd.,","printing firm,",1906,New Zealand,,,"paper,ink","Visual and Verbal Communication,stickers",,Wood carving,Christchurch,Purchased 1997
